sensor_type,algorithm,noise_reduction_ratio,phase_shift_delay_min,xcorr_lag_min,step_response_median_delay_min,attenuation_signal_band,hypo_preserved_pct,hypo_amp_delta,outlier_absorbed_pct,peak_event_accel_retention
G6,aaps_average,1.0,0.0,0.0,-0.75,1.0,100.0,0.0,0.0,1.0
G6,aaps_exponential,0.794,-2.023,2.639,0.417,1.045,90.0,0.0,50.0,0.474
G6,ukf,0.783,-1.039,1.545,-0.228,1.043,95.604,-0.068,61.111,0.623
G7,aaps_average,1.0,0.0,0.0,-0.687,1.0,100.0,0.0,0.0,1.0
G7,aaps_exponential,0.731,-2.041,2.759,0.556,1.042,86.604,0.0,55.0,0.439
G7,ukf,0.739,-1.09,1.672,-0.195,1.042,93.624,-0.091,64.812,0.587
