user_id,algorithm,noise_ratio_G6,noise_ratio_G7,noise_ratio_delta,phase_shift_G6,phase_shift_G7,outlier_absorbed_G6,outlier_absorbed_G7,hypo_preserved_G6,hypo_preserved_G7
User_D,aaps_average,0.6612429511714696,0.5940580117790998,-0.0671849393923698,-0.003480461463009226,-0.003896049769922151,32.432432432432435,40.625,87.31343283582089,85.34482758620689
User_D,aaps_exponential,0.76128154957192,0.7104425208270099,-0.050839028744910086,-1.7113296730805614,-1.6818819169719343,45.945945945945944,50.0,91.7910447761194,88.79310344827586
User_D,trio_sgolay,0.4570356950664919,0.4689572766351972,0.01192158156870532,-0.0024303447289003243,0.007746545695952415,91.89189189189189,90.625,82.08955223880596,77.58620689655173
User_D,ukf,0.5736367553921704,0.4973702471877499,-0.07626650820442049,-0.06224943425597984,-0.06552140326115542,55.55555555555556,56.25,85.71428571428571,77.58620689655173
User_I,aaps_average,0.5661699083647068,0.5120204083333588,-0.054149500031348,-0.01039724493352161,-0.005416435621074947,44.44444444444444,24.0,87.91208791208791,81.16883116883118
User_I,aaps_exponential,0.6797597765823359,0.6188476849502891,-0.060912091632046805,-2.250184826320964,-2.09630504211044,38.888888888888886,60.0,89.01098901098901,84.41558441558442
User_I,trio_sgolay,0.4050433730302356,0.386024567600596,-0.019018805429639574,-0.014372832720037658,-0.006434806657579098,100.0,100.0,83.51648351648352,75.32467532467533
User_I,ukf,0.45492600900259844,0.40304284261198287,-0.051883166390615576,-0.02766203179835513,-0.054379537017342175,68.75,64.0,85.71428571428571,75.97402597402598
User_J,aaps_average,0.6502505002073169,0.6727377561229435,0.022487255915626614,-0.01125877779158076,-0.0008043261830624045,37.878787878787875,20.895522388059703,83.58974358974359,90.87591240875912
User_J,aaps_exponential,0.7798500360445588,0.8059354809398055,0.026085444895246668,-1.932330371855323,-1.985848142222998,37.878787878787875,20.895522388059703,83.58974358974359,95.25547445255475
User_J,trio_sgolay,0.4572132115975928,0.4710972152263385,0.0138840036287457,0.008126159883831523,-0.00256269952866819,96.96969696969697,97.01492537313433,74.35897435897436,87.22627737226277
User_J,ukf,0.5287898666214134,0.5600172360008798,0.031227369379466463,-0.058407530071988865,-0.046546386274597354,62.6865671641791,41.791044776119406,76.92307692307692,86.86131386861314
