user_id,smoother,amplitude,duration_min,peak_incoh_ratio,step_max,confidence
U000,aaps_average,18.0,25.0,1.0,10.0,low
U000,aaps_average,21.0,25.0,1.0,10.0,low
U000,aaps_average,27.0,45.0,1.0,16.0,low
U000,aaps_average,25.0,55.0,0.9459459459459459,15.0,low
U000,aaps_average,17.0,25.0,0.43478260869565216,8.0,low
U000,aaps_average,37.0,50.0,1.0,9.0,low
U000,aaps_exponential,16.0,25.0,0.8095238095238095,6.0,low
U000,aaps_exponential,42.0,35.0,0.9166666666666666,17.0,low
U000,aaps_exponential,18.0,25.0,0.9375,9.0,low
U000,aaps_exponential,43.0,45.0,0.8928571428571429,14.0,low
U000,aaps_exponential,44.0,60.0,0.6206896551724138,11.0,low
U000,aaps_exponential,41.0,25.0,0.782608695652174,16.0,low
U000,aaps_exponential,15.0,25.0,0.9714285714285714,7.0,medium
U000,aaps_exponential,36.0,40.0,0.7547169811320755,18.0,low
U000,aaps_exponential,59.0,45.0,0.8604651162790697,24.0,low
U000,aaps_exponential,48.0,25.0,0.8367346938775511,21.0,low
U000,aaps_exponential,26.0,40.0,1.0,19.0,medium
U000,aaps_exponential,39.0,70.0,0.9259259259259259,13.0,medium
U000,aaps_exponential,42.0,60.0,0.8780487804878049,15.0,medium
U000,aaps_exponential,19.0,25.0,0.5405405405405406,13.0,low
U000,aaps_exponential,33.0,45.0,0.813953488372093,14.0,medium
U000,aaps_exponential,48.0,50.0,0.9629629629629629,23.0,medium
U000,aaps_exponential,28.0,90.0,0.96875,21.0,high
U000,aaps_exponential,19.0,45.0,0.9152542372881356,9.0,medium
U000,aaps_exponential,17.0,25.0,0.7741935483870968,16.0,low
U000,aaps_exponential,15.0,25.0,1.0,9.0,medium
U000,aaps_exponential,22.0,25.0,0.9166666666666666,11.0,low
U000,aaps_exponential,32.0,50.0,0.9230769230769231,18.0,low
U000,aaps_exponential,33.0,45.0,0.8181818181818182,14.0,medium
U000,aaps_exponential,30.0,30.0,0.84,10.0,low
U000,aaps_exponential,41.0,30.0,0.9868421052631579,16.0,low
U000,aaps_exponential,39.0,45.0,0.9649122807017544,17.0,medium
U000,aaps_exponential,29.0,50.0,0.8444444444444444,22.0,low
U000,aaps_exponential,15.0,25.0,0.8888888888888888,7.0,low
U000,aaps_exponential,42.0,55.0,0.963855421686747,26.0,medium
