user_id,table,algorithm,step,median_abs_delta,p25_abs_delta,p75_abs_delta,p95_abs_delta,frac_changed,n
U141,oref_v7,ukf,update,1.4271172368567449,0.6236546731782511,2.9201272296594567,7.311516663355725,1.0,23086
U141,oref_v7,ukf,rts,0.0,0.0,0.0,0.0,0.0,23086
U141,oref_v7,ukf,update@outlier,45.64224623300607,21.389250565921536,82.23484940933957,132.46163718979258,1.0,20
U142,oref_v7,aaps_average,filter,0.0,0.0,0.0,0.0,0.0,21860
U142,oref_v7,aaps_exponential,filter,1.0,0.0,2.0,4.0,0.6470265324794144,21860
U142,oref_v7,ukf,predict,1.1880544847917918,0.5287690839259085,2.3233051131783213,5.853628170780485,0.9999540588964947,21767
U142,oref_v7,ukf,update,0.7887541309307693,0.3509799491382992,1.5415145830017778,3.8955861986285543,0.9998621766894841,21767
U142,oref_v7,ukf,rts,0.0,0.0,0.0,0.0,0.0,21767
U142,oref_v7,ukf,update@outlier,24.765687556212015,18.458421055150758,44.384691236757455,61.94560002239643,1.0,11
U143,oref_v7,aaps_average,filter,0.0,0.0,0.0,0.0,0.0,14597
U143,oref_v7,aaps_exponential,filter,2.0,1.0,3.0,7.0,0.812290196615743,14597
U143,oref_v7,ukf,predict,2.483527221417944,1.1180005752577244,4.901868871948466,11.11782736533894,1.0,14578
U143,oref_v7,ukf,update,1.6456877674023929,0.7415864660072344,3.252416468330633,7.416076697932499,1.0,14578
U143,oref_v7,ukf,rts,0.0,0.0,0.0,0.0,0.0,14578
U143,oref_v7,ukf,update@outlier,25.07600743086965,19.067143298146462,33.534367419438325,97.79345797010883,1.0,11
U144,oref_v7,aaps_average,filter,0.0,0.0,0.0,0.0,0.0,23092
U144,oref_v7,aaps_exponential,filter,1.0,0.3999999999999915,1.8999999999999773,4.199999999999989,0.9099688203706912,23092
U144,oref_v7,ukf,predict,1.303129283731863,0.5453793508133344,2.705107619467526,6.471497344622662,1.0,23065
U144,oref_v7,ukf,update,0.8662045193876224,0.3626432000038591,1.7983017776992654,4.345955794877915,1.0,23065
U144,oref_v7,ukf,rts,0.0,0.0,0.0,0.0,0.0,23065
U144,oref_v7,ukf,update@outlier,15.473787234867814,14.472233435570892,16.328060371058385,17.01147888001084,1.0,3
