algorithm,freq_cph,median_gain
aaps_average,0.001,1.0
aaps_average,0.0011588746472002932,1.0
aaps_average,0.0013429904479236039,1.0
aaps_average,0.0015563575815308302,1.0
aaps_average,0.0018036233432140421,1.0
aaps_average,0.002090173365549384,1.0
aaps_average,0.002422248921588492,1.0
aaps_average,0.002807082864437154,1.0
aaps_average,0.0032530571641865955,1.0
aaps_average,0.0037698854734691265,1.0
aaps_average,0.0043688246980520444,1.0
aaps_average,0.005062920180634985,1.0
aaps_average,0.0058672898381366126,1.0
aaps_average,0.006799453441192432,1.0
aaps_average,0.007879714207816699,1.0
aaps_average,0.009131601022622714,1.0
aaps_average,0.010582380913465732,1.0
aaps_average,0.012263652947631718,1.0
aaps_average,0.014212036483073542,1.0
aaps_average,0.01646996876531954,1.0
aaps_average,0.019086629242309527,1.0
aaps_average,0.02211901072942425,1.0
aaps_average,0.025633160755481013,1.0
aaps_average,0.02970562012713646,1.0
aaps_average,0.03442509004470119,1.0
aaps_average,0.03989436408039142,1.0
aaps_average,0.04623256709894365,1.0
aaps_average,0.053577749885952174,1.0
aaps_average,0.06208989599686837,1.0
aaps_average,0.07195440631807372,1.0
aaps_average,0.08338613723636419,1.0
aaps_average,0.09663408037118677,1.0
aaps_average,0.11198678579768384,1.0
aaps_average,0.12977864688238566,1.0
aaps_average,0.1503971836199561,1.0
aaps_average,0.17429148310749434,1.0
aaps_average,0.20198198099621337,1.0
aaps_average,0.23407179696780284,1.0
aaps_average,0.2712598711306011,1.0
aaps_average,0.3143561874560724,1.0
aaps_average,0.3642994158333851,1.0
aaps_average,0.42217735699918707,1.0
aaps_average,0.4892506356483851,1.0
aaps_average,0.5669801577795415,1.0
aaps_average,0.6570589303163319,1.0
aaps_average,0.7614489360601412,1.0
aaps_average,0.8824238671377347,1.0
aaps_average,1.0226186477103607,1.0
aaps_average,1.185086824585785,1.0
aaps_average,1.3733670757435672,1.0
aaps_average,1.5915602853788249,1.0
aaps_average,1.8444188642163835,1.0
aaps_average,2.1374502605583268,1.0
aaps_average,2.477036916612703,1.0
aaps_average,2.870575282841648,1.0
aaps_average,3.3266369181649966,1.0
aaps_average,3.855155184901931,1.0
aaps_average,4.467641604805606,1.0
aaps_average,5.177436588586448,1.0
aaps_average,6.0,1.0
aaps_exponential,0.001,1.0000960165618458
aaps_exponential,0.0011588746472002932,0.9993552970991826
aaps_exponential,0.0013429904479236039,1.0000915728757378
aaps_exponential,0.0015563575815308302,1.0018713836796942
aaps_exponential,0.0018036233432140421,1.0027016982207386
aaps_exponential,0.002090173365549384,1.0011990898402565
aaps_exponential,0.002422248921588492,0.9988677331848006
aaps_exponential,0.002807082864437154,0.9990759013833193
aaps_exponential,0.0032530571641865955,0.9996205685037534
aaps_exponential,0.0037698854734691265,0.9972665285320393
aaps_exponential,0.0043688246980520444,0.9984476982902605
aaps_exponential,0.005062920180634985,0.9982129172254258
aaps_exponential,0.0058672898381366126,1.0017180550696265
aaps_exponential,0.006799453441192432,1.001104221345328
aaps_exponential,0.007879714207816699,1.000631523731374
aaps_exponential,0.009131601022622714,1.0014702617680638
aaps_exponential,0.010582380913465732,1.001266266467325
aaps_exponential,0.012263652947631718,1.0009324399867532
aaps_exponential,0.014212036483073542,1.0020302502661997
aaps_exponential,0.01646996876531954,1.0029462686518682
aaps_exponential,0.019086629242309527,1.0023985138781597
aaps_exponential,0.02211901072942425,1.0022125533725592
aaps_exponential,0.025633160755481013,1.001330354092196
aaps_exponential,0.02970562012713646,0.9992630643264031
aaps_exponential,0.03442509004470119,0.9996305073559688
aaps_exponential,0.03989436408039142,1.0002790584458028
aaps_exponential,0.04623256709894365,1.0004379658076108
aaps_exponential,0.053577749885952174,1.0011308517385296
aaps_exponential,0.06208989599686837,1.001427335471421
aaps_exponential,0.07195440631807372,0.9975281417181862
aaps_exponential,0.08338613723636419,1.0001056947927218
aaps_exponential,0.09663408037118677,1.0015518820894342
aaps_exponential,0.11198678579768384,1.0028423533549604
aaps_exponential,0.12977864688238566,1.0028694331842352
aaps_exponential,0.1503971836199561,0.9984362527883033
aaps_exponential,0.17429148310749434,1.003417694364867
aaps_exponential,0.20198198099621337,1.0031912308019848
aaps_exponential,0.23407179696780284,1.0057171962619091
aaps_exponential,0.2712598711306011,1.0073435930122872
aaps_exponential,0.3143561874560724,1.0072253735213599
aaps_exponential,0.3642994158333851,1.0124864790775694
