user_id,table,cluster,best_algo,pc1,pc2
U000,oref_v5,0,trio_sgolay,3.9299599863075496,5.671348699833494
U002,oref_v5,0,trio_sgolay,-0.9457489226821303,1.3799056006143346
U005,oref_v5,0,trio_sgolay,3.9839721055749844,2.511841803209386
U029,oref_v6,0,trio_sgolay,-0.029664570310725776,-2.492960619753708
U031,oref_v6,0,trio_sgolay,0.5888639225216975,1.9680513325691098
U033,oref_v6,1,trio_sgolay,-13.90103607768782,3.6658857959301314
U047,oref_v6,0,trio_sgolay,1.5003741291018082,-0.18988901015141435
U053,oref_v6,0,trio_sgolay,2.6573738106747964,0.9836468651153959
U073,oref_v7,0,trio_sgolay,1.4614464533384481,-0.569239426590053
U122,oref_v7,0,trio_sgolay,-2.031630588641451,3.048585626501228
U132,oref_v7,0,trio_sgolay,5.011612873109061,4.996329218558479
U135,oref_v7,1,trio_sgolay,-4.81338761852891,-1.9884481223731099
U138,oref_v7,0,trio_sgolay,2.1683467635086946,-2.814958147541146
U139,oref_v7,0,trio_sgolay,2.095878157521453,-10.34825381784163
U141,oref_v7,0,trio_sgolay,3.084427767898376,0.6474088065054872
U142,oref_v7,1,trio_sgolay,-4.824078494083237,-2.9068069281848943
U143,oref_v7,0,trio_sgolay,0.33516609915590384,-0.6151832294249033
U144,oref_v7,0,trio_sgolay,-0.2718757967785032,-2.947264446976189
